Table with column headers in row 3,,,
"Table:  County SNAP benefits recipients
Source:  U.S. Census Bureau, Small Area Estimates Branch
Release Date:  December 2021",,,
State FIPS code,County FIPS code,Name,July 2013
11,001,"District of Columbia, DC"," 143,182 "
12,000,Florida," 3,515,731 "
12,001,"Alachua County, FL"," 39,856 "
12,003,"Baker County, FL"," 5,394 "
12,005,"Bay County, FL"," 32,346 "
12,007,"Bradford County, FL"," 5,571 "
12,009,"Brevard County, FL"," 81,543 "
12,011,"Broward County, FL"," 281,400 "
12,013,"Calhoun County, FL"," 2,684 "
12,015,"Charlotte County, FL"," 20,491 "
12,017,"Citrus County, FL"," 24,030 "
12,019,"Clay County, FL"," 24,891 "
12,021,"Collier County, FL"," 31,778 "
12,023,"Columbia County, FL"," 15,256 "
12,025,"Dade County, FL",
12,027,"DeSoto County, FL"," 7,613 "
12,029,"Dixie County, FL"," 3,999 "
12,031,"Duval County, FL"," 187,406 "
12,033,"Escambia County, FL"," 61,256 "
12,035,"Flagler County, FL"," 14,585 "
12,037,"Franklin County, FL"," 2,011 "
12,039,"Gadsden County, FL"," 13,252 "
12,041,"Gilchrist County, FL"," 3,453 "
12,043,"Glades County, FL"," 1,749 "
12,045,"Gulf County, FL"," 2,322 "
12,047,"Hamilton County, FL"," 3,509 "
12,049,"Hardee County, FL"," 6,926 "
12,051,"Hendry County, FL"," 11,099 "
12,053,"Hernando County, FL"," 32,743 "
12,055,"Highlands County, FL"," 19,183 "
12,057,"Hillsborough County, FL"," 270,901 "
12,059,"Holmes County, FL"," 3,812 "
12,061,"Indian River County, FL"," 20,583 "
12,063,"Jackson County, FL"," 9,470 "
12,065,"Jefferson County, FL"," 2,849 "
12,067,"Lafayette County, FL"," 1,228 "
12,069,"Lake County, FL"," 48,857 "
12,071,"Lee County, FL"," 114,643 "
12,073,"Leon County, FL"," 41,693 "
12,075,"Levy County, FL"," 8,636 "
12,077,"Liberty County, FL"," 1,459 "
12,079,"Madison County, FL"," 4,439 "
12,081,"Manatee County, FL"," 54,076 "
12,083,"Marion County, FL"," 68,349 "
12,085,"Martin County, FL"," 15,238 "
12,086,"Miami-Dade County, FL"," 664,201 "
12,087,"Monroe County, FL"," 7,872 "
12,089,"Nassau County, FL"," 9,891 "
12,091,"Okaloosa County, FL"," 21,793 "
12,093,"Okeechobee County, FL"," 9,546 "
12,095,"Orange County, FL"," 236,619 "
12,097,"Osceola County, FL"," 70,548 "
12,099,"Palm Beach County, FL"," 188,810 "
12,101,"Pasco County, FL"," 78,898 "
12,103,"Pinellas County, FL"," 145,494 "
12,105,"Polk County, FL"," 139,869 "
12,107,"Putnam County, FL"," 20,650 "
12,109,"St. Johns County, FL"," 16,464 "
12,111,"St. Lucie County, FL"," 52,286 "
12,113,"Santa Rosa County, FL"," 18,118 "
12,115,"Sarasota County, FL"," 43,899 "
12,117,"Seminole County, FL"," 50,754 "
12,119,"Sumter County, FL"," 9,840 "
12,121,"Suwannee County, FL"," 9,259 "
12,123,"Taylor County, FL"," 4,671 "
12,125,"Union County, FL"," 2,838 "
12,127,"Volusia County, FL"," 92,833 "
12,129,"Wakulla County, FL"," 4,547 "
12,131,"Walton County, FL"," 8,741 "
12,133,"Washington County, FL"," 4,712 "
13,000,Georgia," 1,823,017 "
13,001,"Appling County, GA"," 3,887 "
13,003,"Atkinson County, GA"," 2,092 "
13,005,"Bacon County, GA"," 2,421 "
13,007,"Baker County, GA", 906 
13,009,"Baldwin County, GA"," 9,916 "
13,011,"Banks County, GA"," 3,111 "
13,013,"Barrow County, GA"," 14,167 "
13,015,"Bartow County, GA"," 19,553 "
13,017,"Ben Hill County, GA"," 5,309 "
13,019,"Berrien County, GA"," 4,521 "
13,021,"Bibb County, GA"," 45,272 "
13,023,"Bleckley County, GA"," 2,284 "
13,025,"Brantley County, GA"," 4,235 "
13,027,"Brooks County, GA"," 4,135 "
13,029,"Bryan County, GA"," 3,798 "
13,031,"Bulloch County, GA"," 12,569 "
13,033,"Burke County, GA"," 7,389 "
13,035,"Butts County, GA"," 5,335 "
13,037,"Calhoun County, GA"," 1,525 "
13,039,"Camden County, GA"," 8,218 "
13,043,"Candler County, GA"," 2,557 "
13,045,"Carroll County, GA"," 22,222 "
13,047,"Catoosa County, GA"," 10,974 "
13,049,"Charlton County, GA"," 2,294 "
13,051,"Chatham County, GA"," 49,740 "
13,053,"Chattahoochee County, GA", 708 
13,055,"Chattooga County, GA"," 5,774 "
13,057,"Cherokee County, GA"," 16,631 "
13,059,"Clarke County, GA"," 22,176 "
13,061,"Clay County, GA"," 1,181 "
13,063,"Clayton County, GA"," 82,163 "
13,065,"Clinch County, GA"," 1,924 "
13,067,"Cobb County, GA"," 82,022 "
13,069,"Coffee County, GA"," 10,640 "
13,071,"Colquitt County, GA"," 13,206 "
13,073,"Columbia County, GA"," 10,872 "
13,075,"Cook County, GA"," 4,541 "
13,077,"Coweta County, GA"," 17,983 "
13,079,"Crawford County, GA"," 2,794 "
