leaid,year,fips,district_id,district_name,est_population_total,est_population_5_17,est_population_5_17_poverty,est_population_5_17_poverty_pct,est_population_5_17_pct
508670,2013,5,8670,Lakeside School District,18160,3011,573,0.19030222,0.16580397
508700,2013,5,8700,Lamar School District,6943,1096,348,0.31751823,0.15785684
508730,2013,5,8730,Lavaca Public Schools,5077,923,196,0.21235102,0.18180028
500082,2013,5,82,Lawrence County School District,8107,1276,398,0.31191224,0.15739484
503420,2013,5,3420,Lead Hill School District,2848,414,157,0.37922704,0.14536516
509360,2013,5,9360,Lee County School District,10015,1488,679,0.45631722,0.14857714
508940,2013,5,8940,Lincoln School District,7524,1552,307,0.19780928,0.20627326
509000,2013,5,9000,Little Rock School District,182697,30316,8152,0.2689009,0.16593595
509060,2013,5,9060,Lonoke School District,10309,1831,419,0.2288367,0.1776118
509150,2013,5,9150,Magazine Schools,2652,518,95,0.18339768,0.19532429
